Satır 1 | Bitcoin | 150.000 doları görecek | Yıl sonu
Satır 1013 | Turizm geliri | 65 milyar dolar | Bu yıl
Satır 1013 | Turist sayısı | 60 milyon | Bu yıl
Satır 1017 | Bitcoin | 100k doları | bu yıl
Satır 1017 | Bitcoin | 200k doları | 2027'inde
Satır 1018 | Faiz oranları | %40 | Q3 sonundan
Satır 1018 | Faiz oranları | %35 | Q4 sonundan
Satır 1020 | Arsa fiyatları | 2 katına | 
Satır 1020 | Arsa fiyatları | %70 artışa | 
Satır 1021 | Altınay Savunma | 250 TL | 6 ayda
Satır 1021 | SDT Savunma | 600 TL | None
Satır 1024 | Japon Yeni | %10 kazandı | Yıl
Satır 1024 | Nikkei endeksi | %5 düştü | 
Satır 1025 | Petkim | 35 TL | Yıl sonunda
Satır 1025 | Tüpraş | 280 TL | Yıl sonunda
Satır 1027 | Netflix abone sayısı | 5 milyon | 3 ayda
Satır 1027 | Netflix abone sayısı | 20 milyon artar | Yıl sonunda
Satır 1028 | Uber hissesi | %40 yükselir | 1 yılda
Satır 1028 | Lyft hisseleri | %20 yükselir | 1 yılda
Satır 1030 | Hava yolu yolcu sayısı | %15 artar | bu yıl
Satır 1030 | THYAO kârı | %25 yükselir | null
Satır 1031 | Airbnb oda fiyatları | %20 artar | None
Satır 1031 | doluluk oranları | %90 olur | None
Satır 1032 | Tesla teslimatı | 500 bin | Bu çeyrek
Satır 1032 | Tesla teslimatı | 2 milyon adet | Yıl sonu
Satır 1033 | Ethereum staking ödülleri | %4'е düşer | None
Satır 1033 | yakılan miktar | %50 artar | None
Satır 1034 | Visa işlem hacmi | %15 büyür | 1 yılda
Satır 1034 | Kâr marjı | %55 olur | 
Satır 1035 | Adobe Cloud | %18 artar | 
Satır 1035 | net kârı | %22 yükselir | 6 ayda
Satır 1037 | Morgan Stanley hissesi | %10 artar | None
Satır 1037 | JP Morgan | %15 prim yapar | None
Satır 1038 | Paladyum | 1.200 dolar | 6 ayda
Satır 1038 | Platin | 1.100 dolar | None
Satır 1039 | Mısır fiyatları | %10 düşer | Hasat sonu
Satır 1039 | Soya fiyatları | %5 artar | None
Satır 1040 | Portföyümdeki nakit oranı | %10'a iner | None
Satır 1040 | Hisse oranı | %70'le çıkar | None
Satır 1042 | Kredi kartı limitim | 500.000 TL | 1 yılda
Satır 1042 |  | 100.000 TL | 
Satır 1044 | BIST 100 | 250 milyar TL olacak | Günlük
Satır 1044 | Yabancı payı | %45'e çıkar | None
Satır 1047 | Ferrari satışları | 14 bin adet | yıl sonunda
Satır 1047 | Kâr | 1.2 milyar Euro | yıl sonunda
Satır 1048 | Şeker fiyatları | %30 artar | 1 yılda
Satır 1048 | Çay fiyatları | %40 zamlanır | 
Satır 1050 | Altın ons fiyatı | 2.650-2.680 doları | Bugün-Yarın
Satır 1054 | Apple pazar payı | %15 artar | None
Satır 1055 | Nvidia veri merkezi geliri | 40 milyar dolar | 
Satır 1055 | H100 satışları | %30 artar | 
Satır 1057 | Doğalgaz Avrupa fiyatları | %20 Düşer | -
Satır 1057 | ABD fiyatları | %10 Yükselir | -
Satır 1058 | Faiz oranı | %35 | Q1 sonu
Satır 1058 | Faiz oranı | %25 | Q2 sonu
Satır 1059 | Türkiye CDS primi | 250 puan | today
Satır 1059 | Türkiye CDS primi | 240 puan | tomorrow
Satır 1060 | Bakır tonu | ['10.000 doları', '11.000 doları'] | ['bugün', 'gelecek ay']
Satır 1061 | Konut kredisi aylık faizi | %2 | Eylül
Satır 1061 | Konut kredisi aylık faizi | %1.5 | Aralık
Satır 1062 | BIST Banka Endeksi | %5 artışla | haftayı
Satır 1062 | Sanayi Endeksi | %2 düşüşle | kapatır
Satır 1063 | Dolar/TL | 34.20 | Bu akşam
Satır 1063 | Dolar/TL | 34.40 | Yarın akşam
Satır 1065 | S&P 500 | 5.700 puanı | yarın
Satır 1065 | Cuma günü | 5.800 puanı | Cuma günü
Satır 1067 | Asgari Ücret Zammı | %30 | 
Satır 1067 | Enflasyon Farkı | %15 | 
Satır 1068 | Bitcoin | %40 artar | 
Satır 1068 | Açık pozisyonlar | 20 milyar dolar | 
Satır 1069 | Tesla enerji birimi | 3 milyar dolar | None
Satır 1069 | karı | %25 artar | None
Satır 1070 | Google reklam geliri | 250 milyar dolar | yıl sonunda
Satır 1070 | Google net kârı | 80 milyar dolar | yıl sonunda
Satır 1071 | Dolar | 45 TL olacak | Ay sonu
Satır 1071 | Euro | 50 TL olacak | Kesin
Satır 1075 | Dolar | artacak | 
Satır 1077 | Hisselerimi | satacağım | yakında
Satır 1098 | Kripto paralar | riskli ama kazançlı | None
Satır 1099 | Dolar | 40 TL olacak | Yıl sonunda
Satır 1106 | Crypto |  | now
Satır 1111 | Ereğli hissesi | çok düştü | None
Satır 1116 | Doların ateşi | düşmeyecek | 
Satır 1128 | Dolar | 40 TL olacak | Yıl sonu
Satır 1134 | Enflasyon | Beli kırılacak | None
Satır 1140 | Mevduata | para yatırmak | mantıklı mı?
Satır 1141 | Borsa yatırımcısı | None | None
Satır 1149 | Avax | çok yukarıda | None
Satır 1150 | XRP davası | olumlu sonuçlar | olumlu sonuçlar
Satır 1176 | Enflasyon | %40'a düşeceği | Rapor
Satır 1177 | Faiz | artacak | 
Satır 1178 | Altın | 3000 dolar | 
Satır 1182 | Dolar | 38 TL | None
Satır 1184 | Konut fiyatları | %30 artacak | None
Satır 1185 | Petrol | 100 dolar | 
Satır 1187 | Fon yöneticileri |  | 
Satır 1188 | Asgari Ücret | 25 bin TL | 
Satır 1189 | Ciro | %50 artacak | 
Satır 1196 | Türkiye'nin kredi notu |  | 
Satır 1198 | Gıda fiyatları | %15 artacak | 
Satır 1199 | Sektör temsilcileri | %10 artacak | 
Satır 1203 | Bitcoin | çökecek (will collapse) | 
Satır 1205 | Brent Petrolu | 80 dolar | None
Satır 1206 | Enflasyon |  | 3 yılda
Satır 1213 | BTC | 150 bin dolar | None
Satır 1214 | Ethereum | 5000 $ | 
Satır 1215 | Dolar | 42 TL olacak | 
Satır 1218 | SISE hissesi | 80 TL | 
Satır 1221 | Petrol | 120 dolar olacak | OPEC üretimi kısarsa
Satır 1240 | Borsa | Grafikler | yalan söylemez
Satır 1269 | Gönderinin trendi | yükselen | None
Satır 1294 | Banka |  | 
Satır 1304 | Hızlı tren | artacak | None
